Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,ID,Probability_of_Churn
1,19,1,4,1,1,2,0,24,0,2,2,13093.0,1973,10576.0,0.426,1024,29,0.444,0.192,6575,1.0
1,33,0,1,2,1,4,0,23,1,3,3,2468.0,0,2468.0,0.5,1012,27,0.762,0.0,3283,1.0
1,15,0,1,3,2,4,0,23,3,3,2,2372.0,0,2372.0,0.597,1434,31,0.464,0.0,150,1.0
1,22,1,4,6,2,3,0,23,2,3,3,32838.0,1253,31121.0,0.995,1468,32,0.4,0.052000000000000005,1984,1.0
1,12,1,4,2,3,2,0,9,4,2,3,8632.0,0,8632.0,0.395,1186,30,0.7390000000000001,0.0,2650,1.0
1,31,0,3,6,2,4,0,36,0,3,5,1551.0,337,761.0,0.8109999999999999,1324,36,0.769,0.509,8739,1.0
1,12,1,2,6,2,2,0,20,1,3,2,12871.0,0,12871.0,0.598,1353,43,0.606,0.0,9854,1.0
1,16,0,4,0,1,1,0,24,2,3,1,4139.0,0,4139.0,0.547,1194,31,0.464,0.0,9878,1.0
1,36,1,0,4,0,2,3,33,3,5,6,28229.0,34,27942.0,0.594,1238,35,0.552,0.01,767,1.0
1,16,1,4,0,2,1,0,23,4,2,3,10543.0,0,10543.0,0.509,852,29,0.5,0.0,692,1.0
1,24,0,2,6,2,1,0,23,2,3,2,2762.0,0,2762.0,0.684,1498,34,0.419,0.0,4677,1.0
1,26,1,2,2,2,2,0,32,1,3,3,3460.0,0,3460.0,0.466,1308,37,0.621,0.0,7099,1.0
1,16,0,3,3,1,1,0,17,4,3,2,1456.0,0,1456.0,0.6940000000000001,1700,32,0.5,0.0,5994,1.0
1,29,0,3,6,2,4,0,32,3,3,4,1741.0,0,1741.0,0.84,1475,32,0.4,0.0,7543,1.0
1,23,0,3,4,1,4,0,22,2,3,2,1914.0,0,1914.0,0.677,1592,31,0.414,0.0,5265,1.0
1,28,0,1,2,2,4,0,32,2,5,5,1438.3,0,1438.3,0.647,631,29,0.444,0.0,8853,1.0
1,30,1,4,3,1,2,0,30,5,2,6,4535.0,0,4535.0,0.831,1296,30,0.6,0.0,5719,1.0
1,20,0,2,2,3,4,0,27,4,2,2,6568.0,0,6568.0,0.101,538,23,0.222,0.0,9853,1.0
1,11,0,3,6,2,5,0,11,1,3,2,2054.0,0,2054.0,0.87,1494,33,0.593,0.0,340,1.0
1,17,1,3,5,2,1,0,23,2,3,3,9267.0,0,9267.0,0.866,4035,80,1.093,0.0,4862,1.0
1,24,0,2,2,3,4,0,23,4,2,2,1438.3,0,1438.3,0.6579999999999999,1284,33,0.593,0.0,1816,1.0
1,26,0,2,3,1,5,0,26,0,3,4,2233.0,1325,443.0,0.7979999999999999,1729,40,0.562,0.802,1784,1.0
1,17,1,3,6,1,0,0,21,3,3,2,24868.0,341,24074.0,0.649,1444,22,0.231,0.032,2247,1.0
1,8,0,1,5,3,4,0,12,0,2,3,3074.0,0,3074.0,0.718,1615,44,0.688,0.0,4506,1.0
1,25,0,3,2,1,4,0,33,0,4,3,2016.0,57,1621.0,0.711,1410,34,0.5710000000000001,0.196,9502,1.0
1,19,0,2,2,2,4,0,20,0,3,4,1492.0,0,1492.0,0.502,1407,28,0.267,0.0,7864,1.0
1,22,0,4,3,1,4,0,24,0,2,3,3607.0,0,3607.0,0.504,1008,25,0.458,0.0,2388,1.0
1,30,0,3,2,1,4,0,32,1,3,4,1438.3,0,1438.3,0.315,985,32,0.355,0.0,3023,1.0
1,14,1,4,2,2,3,3,9,2,1,3,34516.0,0,34516.0,0.64,149,16,0.3,0.0,2623,1.0
1,18,0,4,2,1,4,0,18,2,3,4,2184.0,0,2184.0,0.6709999999999999,971,32,0.556,0.0,3915,1.0
1,19,1,5,0,1,2,0,26,1,3,3,3439.0,0,3439.0,0.825,1572,25,0.29600000000000004,0.0,8286,1.0
1,24,1,3,5,1,2,0,32,1,2,5,21096.0,0,21096.0,0.637,888,29,0.345,0.0,9386,1.0
1,12,0,2,3,2,4,0,20,2,3,3,1568.0,0,1568.0,0.611,1678,49,0.7879999999999999,0.0,9462,1.0
1,27,1,0,3,2,0,3,31,1,4,4,34516.0,1796,32219.0,0.416,498,33,0.536,0.067,8403,1.0
1,21,0,3,2,1,5,0,23,2,3,1,5590.0,0,5590.0,0.01,538,22,0.0,0.0,11,1.0
1,28,1,3,0,2,0,0,36,2,2,3,34516.0,0,34516.0,1.203,1095,14,0.263,0.0,9477,1.0
1,36,0,1,3,1,5,0,43,1,1,2,8990.0,0,8990.0,0.935,43,9,0.583,0.0,9190,1.0
1,15,1,3,6,1,3,0,9,2,3,4,20543.0,0,20543.0,0.547,881,32,0.615,0.0,7588,1.0
1,17,1,2,4,2,2,0,23,1,3,3,17306.0,0,17306.0,0.4,3739,55,0.8059999999999999,0.0,6344,1.0
1,26,0,3,3,1,1,0,34,1,2,3,8018.0,2,7884.0,0.7170000000000001,1350,28,0.31,0.017,9313,1.0
1,24,1,2,0,2,3,0,31,4,2,4,3495.0,0,3495.0,0.639,1108,31,0.464,0.0,9005,1.0
1,22,0,4,0,1,4,0,24,2,2,3,1745.0,0,1745.0,0.657,1254,34,0.63,0.0,437,1.0
1,17,1,3,6,1,1,0,22,1,2,3,1438.3,0,1438.3,0.6940000000000001,93,18,0.4,0.0,8743,1.0
1,14,1,3,2,3,2,0,17,3,2,3,6391.0,0,6391.0,0.632,1278,34,0.419,0.0,24,1.0
1,21,0,4,2,0,4,0,29,0,3,3,5798.0,1973,3281.0,0.58,869,33,0.433,0.434,9625,1.0
1,19,1,3,2,2,3,0,26,0,3,3,8383.0,0,8383.0,0.809,1524,34,0.517,0.0,7103,1.0
1,27,0,3,3,2,1,0,34,0,3,4,1714.0,0,1714.0,0.6609999999999999,1236,36,0.5329999999999999,0.0,9140,1.0
1,16,0,2,6,2,1,0,21,2,3,3,2516.0,0,2516.0,0.53,1218,41,0.545,0.0,3142,1.0
1,18,0,2,2,2,4,0,26,5,3,3,1791.0,0,1791.0,0.735,1650,26,0.5,0.0,9395,1.0
1,12,0,2,6,1,1,0,15,5,2,2,1628.0,0,1628.0,0.8759999999999999,1458,31,0.64,0.0,6089,1.0
1,11,0,4,4,1,4,0,23,2,3,3,1586.0,0,1586.0,0.4970000000000001,1089,31,0.414,0.0,3077,1.0
1,18,0,4,1,3,5,0,20,4,3,6,1438.3,0,1438.3,0.6759999999999999,1271,38,0.5,0.0,1716,1.0
1,16,0,4,5,1,4,0,10,2,2,3,3214.0,0,3214.0,0.435,1099,34,0.517,0.0,3040,1.0
1,31,0,3,5,2,4,0,38,2,0,3,1438.3,0,1438.3,0.429,1093,28,0.267,0.0,342,1.0
1,14,0,4,6,1,1,0,17,0,3,4,3356.0,1973,839.0,0.583,1024,29,0.147,0.75,128,1.0
1,27,0,3,5,2,4,0,22,5,3,1,9786.0,0,9786.0,0.701,68,15,0.562,0.0,4643,1.0
1,7,1,3,2,1,2,0,2,4,1,3,23399.0,0,23399.0,1.051,4323,64,0.85,0.0,1974,1.0
1,21,1,2,1,0,3,0,19,0,3,3,1438.3,0,1438.3,0.454,1332,32,0.5,0.0,2499,1.0
1,33,1,2,2,2,2,0,37,1,4,2,6224.0,0,6224.0,0.8009999999999999,4132,59,1.029,0.0,2787,1.0
1,20,1,4,6,1,3,0,26,2,3,2,34516.0,36,34227.0,0.95,4280,66,1.054,0.008,6980,1.0
1,23,1,2,5,1,3,0,30,0,3,3,5701.0,1973,3184.0,0.716,118,22,0.524,0.442,7133,1.0
1,5,1,0,2,1,4,0,23,2,2,3,6911.0,1973,4394.0,0.934,4081,61,0.732,0.364,4674,1.0
1,20,0,4,2,1,1,0,21,4,3,1,4152.0,984,2706.0,0.826,1183,20,0.304,0.348,279,1.0
1,28,0,3,3,1,4,0,25,1,2,4,2452.0,553,1440.0,0.46,1341,19,0.318,0.413,8042,1.0
1,20,0,3,3,3,4,0,28,1,3,4,3313.0,0,3313.0,0.561,1112,34,0.419,0.0,1794,1.0
1,14,1,3,2,1,0,0,14,4,3,2,2269.0,0,2269.0,0.5720000000000001,1088,29,0.56,0.0,310,1.0
1,22,1,4,5,2,1,0,24,0,3,4,5268.0,1702,3077.0,0.622,1115,30,0.429,0.416,7495,1.0
1,19,0,3,2,0,1,0,28,0,3,3,1477.0,0,1477.0,0.768,1181,33,0.654,0.0,10066,1.0
1,27,0,1,0,1,1,0,35,1,2,3,3339.0,0,3339.0,0.6940000000000001,1371,38,0.6,0.0,9516,1.0
1,30,0,2,3,2,4,0,29,4,4,2,2423.0,29,2155.0,0.804,1449,49,0.639,0.111,5610,1.0
1,29,0,1,5,2,4,0,36,2,4,3,3292.0,0,3292.0,0.482,1187,44,0.636,0.0,9224,1.0
1,16,1,4,6,1,1,0,23,1,3,5,1606.0,0,1606.0,0.87,1547,31,0.64,0.0,5153,1.0
1,11,0,3,3,1,5,0,17,2,3,3,9874.0,0,9874.0,0.491,1385,37,0.5670000000000001,0.0,7042,1.0
1,21,0,3,2,3,5,0,20,0,3,4,3443.0,0,3443.0,0.8320000000000001,1439,35,0.452,0.0,6160,1.0
1,32,1,2,2,1,1,0,35,1,3,3,4085.0,1746,1847.0,0.568,5,5,0.5,0.5479999999999999,2794,1.0
1,19,1,4,3,0,4,0,21,3,2,3,3489.0,1973,972.0,0.721,1589,29,0.56,0.721,8199,1.0
1,27,0,4,2,1,5,0,36,4,5,4,10533.0,46,10203.0,0.823,1510,38,0.7140000000000001,0.031,9973,1.0
1,18,0,1,3,2,4,0,23,1,3,3,1895.0,0,1895.0,0.736,1409,30,0.429,0.0,2320,1.0
1,23,0,3,6,1,4,0,20,5,3,3,2910.0,0,2910.0,0.789,1561,31,0.464,0.0,8527,1.0
1,28,0,0,1,2,4,0,23,3,3,2,2708.0,0,2708.0,0.6729999999999999,1276,35,0.552,0.0,2146,1.0
1,14,1,4,6,0,2,0,14,1,2,3,5051.0,0,5051.0,0.588,1114,35,0.552,0.0,5622,1.0
1,16,0,3,1,2,4,0,17,1,3,3,1438.3,0,1438.3,0.373,715,27,0.423,0.0,2435,1.0
1,7,1,1,6,1,2,0,23,0,3,4,8925.0,7,8757.0,0.447,41,0,0.429,0.019,6406,1.0
1,8,0,2,2,0,5,0,12,1,3,4,12373.0,0,12373.0,0.71,1400,30,0.429,0.0,1646,1.0
1,18,0,2,2,0,4,0,23,2,2,3,1880.0,0,1880.0,0.519,1407,24,0.417,0.0,14,1.0
1,29,0,4,3,1,4,0,23,3,2,3,1477.0,0,1477.0,0.7190000000000001,1358,39,0.531,0.0,5815,1.0
1,4,0,1,2,1,4,0,23,1,2,3,2905.0,1973,388.0,0.725,1423,29,0.393,0.866,1903,1.0
1,20,1,3,0,2,3,0,26,0,4,3,4026.0,25,3783.0,0.738,188,17,0.8,0.06,5790,1.0
1,14,1,4,6,1,3,0,18,0,3,6,23502.0,0,23502.0,0.8390000000000001,4023,50,0.875,0.0,5832,1.0
1,8,1,0,2,0,3,3,11,0,2,3,34516.0,61,34116.0,0.202,3534,39,0.256,0.012,3160,1.0
1,10,1,2,2,2,4,0,23,2,3,3,4225.0,1973,1708.0,0.662,1570,33,0.387,0.596,5532,1.0
1,9,0,4,2,1,5,0,23,3,3,3,1931.0,0,1931.0,0.695,1496,36,0.394,0.0,5310,1.0
1,20,1,3,4,2,1,0,27,2,4,2,2344.0,0,2344.0,0.412,1080,21,0.409,0.0,7202,1.0
1,22,1,3,2,0,1,0,30,1,3,3,9104.0,3,8959.0,0.765,1490,24,0.417,0.016,9382,1.0
1,18,0,5,2,2,4,0,24,0,2,4,1491.0,0,1491.0,0.551,968,36,0.484,0.0,2348,1.0
1,39,1,0,2,2,5,0,35,0,4,3,1671.0,0,1671.0,0.725,1602,41,0.889,0.0,2385,1.0
1,12,1,1,6,1,1,0,5,0,1,2,9664.0,1511,7681.0,0.873,4037,46,0.8059999999999999,0.205,1075,1.0
1,21,0,5,3,2,4,0,23,1,3,2,1636.0,0,1636.0,0.6940000000000001,1196,25,0.591,0.0,1550,1.0
1,14,1,3,3,3,3,0,21,0,3,4,29715.0,0,29715.0,0.399,1105,29,0.345,0.0,5353,1.0
1,7,1,3,2,1,3,0,23,5,3,5,7140.0,0,7140.0,0.401,103,8,0.2,0.0,3302,1.0
1,20,0,3,0,1,4,0,23,1,3,4,1804.0,0,1804.0,0.537,1062,34,0.419,0.0,697,1.0
1,23,0,4,2,1,4,0,25,4,2,4,1757.0,0,1757.0,0.89,1485,35,0.406,0.0,4572,1.0
1,30,0,3,2,1,1,0,31,5,3,4,1544.0,0,1544.0,0.315,907,25,0.4,0.0,243,1.0
1,16,0,2,2,2,1,3,19,3,3,3,17909.0,0,17909.0,0.225,3735,48,0.487,0.0,3081,1.0
1,18,0,3,5,1,4,0,23,5,3,3,1684.0,0,1684.0,0.557,1233,35,0.607,0.0,2573,1.0
1,33,0,0,1,1,4,0,39,5,4,2,2302.0,0,2302.0,0.52,1217,30,0.667,0.0,3277,1.0
1,24,0,4,2,2,4,0,31,1,3,2,3201.0,1973,684.0,0.445,886,32,0.355,0.7859999999999999,9097,1.0
1,28,0,2,6,3,4,0,26,3,3,3,1438.3,0,1438.3,0.72,1122,31,0.519,0.0,8657,1.0
1,5,1,1,4,2,4,3,23,5,3,5,12359.0,0,12359.0,0.843,3868,60,0.628,0.0,932,1.0
1,13,0,2,3,2,5,0,21,2,3,1,2069.0,136,1519.0,0.7829999999999999,1610,33,0.433,0.266,9449,1.0
1,14,0,3,2,1,4,0,16,5,2,4,1479.0,76,1021.0,0.466,822,34,0.517,0.31,6166,1.0
1,15,1,4,6,2,3,0,15,0,2,4,4428.0,0,4428.0,0.865,1286,26,0.28600000000000003,0.0,4859,1.0
1,21,1,2,2,0,3,0,28,2,2,3,4586.0,0,4586.0,0.812,1460,33,0.433,0.0,8227,1.0
1,31,0,2,5,1,5,0,38,2,6,2,2404.0,33,2120.0,0.866,1445,41,0.5,0.118,9029,1.0
1,23,0,3,2,1,4,0,24,3,2,1,6184.0,0,6184.0,0.476,771,39,0.324,0.0,98,1.0
1,16,0,1,6,1,4,0,23,2,3,4,2983.0,0,2983.0,0.865,1443,36,0.586,0.0,5803,1.0
1,23,0,3,5,2,5,0,23,3,2,3,3855.0,15,3644.0,0.485,740,24,0.308,0.055,3122,1.0
1,24,1,2,3,1,0,3,24,4,2,1,34516.0,60,34117.0,0.726,1098,31,0.519,0.012,8581,1.0
1,27,1,2,5,1,3,0,23,0,3,3,4503.0,0,4503.0,0.659,44,10,0.429,0.0,5763,1.0
1,21,1,2,2,1,1,0,17,3,3,2,1889.0,0,1889.0,0.8740000000000001,1416,36,0.5329999999999999,0.0,6202,1.0
1,22,0,4,1,3,5,0,11,3,2,3,1438.3,0,1438.3,0.738,1261,36,0.484,0.0,2087,1.0
1,23,0,3,3,1,4,0,23,3,2,2,1763.0,0,1763.0,0.8959999999999999,1679,33,0.536,0.0,1287,1.0
1,34,1,1,3,0,3,0,35,0,5,3,28930.0,0,28930.0,0.645,1212,17,0.227,0.0,8336,1.0
1,32,0,2,3,1,4,0,40,2,0,2,1944.0,0,1944.0,0.613,1352,30,0.481,0.0,9367,1.0
1,16,1,2,5,1,1,0,17,0,3,3,3032.0,0,3032.0,0.429,1231,34,0.517,0.0,2663,1.0
1,15,0,4,2,1,4,0,13,3,2,2,3159.0,0,3159.0,0.916,1748,36,0.353,0.0,8984,1.0
1,28,0,2,1,1,4,0,28,1,2,3,3881.0,1973,1364.0,0.815,1401,28,0.407,0.649,5513,1.0
1,30,1,2,0,2,0,0,37,1,2,3,16867.0,0,16867.0,0.885,13,4,0.4,0.0,7092,1.0
1,15,1,2,2,2,2,0,23,2,2,1,2238.0,0,2238.0,0.452,1050,32,0.5,0.0,3125,1.0
1,26,0,3,4,2,4,0,34,2,3,2,2972.0,0,2972.0,1.035,106,15,0.562,0.0,70,1.0
1,18,1,1,6,2,2,0,20,2,2,4,2540.0,0,2540.0,0.212,561,21,0.107,0.0,526,1.0
1,25,0,2,6,1,4,0,23,0,2,2,2114.0,0,2114.0,0.875,1719,35,0.5,0.0,458,1.0
1,21,1,3,1,1,2,0,23,5,3,1,1584.0,752,370.0,0.887,1547,31,0.64,0.7659999999999999,292,1.0
1,15,0,2,3,2,4,0,23,3,3,3,2201.0,1625,97.0,0.648,1349,28,0.583,0.956,6680,1.0
1,33,1,0,5,3,2,0,35,1,6,2,13172.0,0,13172.0,0.8759999999999999,1522,37,0.621,0.0,8081,1.0
1,13,1,3,3,2,3,0,0,1,1,3,8656.0,0,8656.0,0.893,4060,79,0.935,0.0,3120,1.0
1,19,1,5,0,2,1,0,23,3,3,3,4982.0,0,4982.0,0.8859999999999999,4203,48,1.0,0.0,1175,1.0
1,26,0,3,5,2,1,0,23,1,3,3,1915.0,983,470.0,0.374,1224,29,0.56,0.755,3230,1.0
1,15,1,3,4,3,3,0,20,2,2,3,7591.0,0,7591.0,0.648,1258,32,0.5,0.0,1826,1.0
1,18,0,3,1,1,4,0,25,5,1,3,7222.0,0,7222.0,0.685,105,8,0.5,0.0,9085,1.0
1,31,0,3,6,3,4,0,30,4,3,2,1462.0,0,1462.0,0.602,1256,32,0.312,0.0,7502,1.0
1,37,1,0,2,2,2,0,38,2,3,3,11619.0,0,11619.0,0.631,1338,39,0.361,0.0,4163,1.0
1,13,1,1,2,1,3,0,23,1,2,3,24239.0,0,24239.0,0.94,4194,63,0.78,0.0,5748,1.0
1,34,0,1,6,2,1,0,28,2,2,4,2425.0,0,2425.0,0.187,553,26,0.2,0.0,532,1.0
1,10,0,2,2,1,4,0,10,3,2,2,1666.0,360,853.0,0.813,1542,50,0.818,0.488,5240,1.0
1,29,1,1,3,1,2,0,33,1,2,3,1438.3,0,1438.3,1.037,92,8,1.25,0.0,1744,1.0
1,28,1,3,3,1,1,0,31,1,1,5,3032.0,0,3032.0,0.949,154,4,2.5,0.0,8825,1.0
1,9,0,1,0,2,4,0,12,1,2,4,2231.0,1326,440.0,0.82,1502,32,0.75,0.8029999999999999,6281,1.0
1,21,0,3,2,2,4,0,26,2,3,3,1438.3,0,1438.3,0.502,1413,22,0.778,0.0,2399,1.0
1,25,1,2,3,1,3,0,28,4,2,3,14902.0,0,14902.0,0.312,1028,29,0.625,0.0,6613,1.0
1,8,1,2,3,1,3,0,12,5,2,0,1439.0,0,1439.0,0.89,1751,34,0.913,0.0,6132,1.0
1,18,1,2,5,2,3,3,23,1,3,3,34516.0,146,33947.0,0.919,4198,58,0.789,0.016,4576,1.0
1,28,0,2,0,2,5,0,23,0,3,3,8827.0,0,8827.0,0.782,1557,40,0.515,0.0,2033,1.0
1,17,1,4,0,1,1,0,19,5,3,3,4373.0,0,4373.0,0.623,1340,36,0.484,0.0,2556,1.0
1,19,0,4,2,3,4,0,20,0,3,2,1748.0,642,645.0,0.7390000000000001,1289,31,0.708,0.631,6490,1.0
1,6,0,0,6,1,4,0,23,4,3,3,1438.3,0,1438.3,0.569,1402,27,0.321,0.0,2337,1.0
1,28,0,1,6,1,4,0,27,0,1,4,1438.3,0,1438.3,0.43,657,26,0.44,0.0,2838,1.0
1,21,0,4,4,1,5,0,29,3,4,4,6451.0,0,6451.0,0.706,1343,33,0.433,0.0,9805,1.0
1,28,1,2,0,2,0,0,23,2,2,3,34516.0,0,34516.0,0.628,1284,37,0.516,0.0,5812,1.0
1,22,0,1,2,1,4,0,29,2,3,2,1942.0,404,1082.0,0.708,1454,32,0.312,0.443,7181,1.0
1,16,0,3,2,1,4,0,22,1,4,3,5230.0,1973,2713.0,0.937,4332,51,0.605,0.481,6977,1.0
1,22,0,1,2,2,4,0,28,5,2,4,3001.0,89,2519.0,0.8140000000000001,1345,32,0.615,0.161,6940,1.0
1,14,0,2,4,1,1,0,12,1,2,4,3795.0,1973,1278.0,0.563,658,22,0.778,0.6629999999999999,8117,1.0
1,25,0,0,2,1,4,0,19,3,2,3,1757.0,47,1426.0,0.879,1323,37,0.516,0.188,7797,1.0
1,21,0,1,6,2,4,0,24,3,2,1,2173.0,166,1577.0,0.81,1628,35,0.406,0.274,3854,1.0
1,13,0,2,2,1,4,0,16,2,2,2,1677.0,0,1677.0,0.8690000000000001,1376,31,0.708,0.0,7600,1.0
1,20,1,3,1,0,3,0,22,4,3,3,9949.0,0,9949.0,0.574,1177,30,0.481,0.0,336,1.0
1,26,1,1,3,2,3,0,31,0,3,2,3770.0,0,3770.0,0.544,1331,41,0.5,0.0,2354,1.0
1,27,0,2,1,1,5,0,26,0,2,3,1438.3,0,1438.3,0.644,60,12,0.6920000000000001,0.0,623,1.0
1,17,1,1,2,1,3,0,24,3,2,3,25517.0,43,25196.0,0.769,1442,34,0.294,0.013,9094,1.0
1,19,0,4,6,2,5,1,14,0,2,3,34516.0,0,34516.0,0.331,1169,32,0.355,0.0,6290,1.0
1,23,0,4,2,1,4,0,29,1,4,3,2575.0,1973,58.0,0.31,881,30,0.7390000000000001,0.977,6840,1.0
1,33,0,2,6,2,5,0,32,0,3,3,2721.0,1415,836.0,0.853,1518,38,0.455,0.693,6322,1.0
1,27,0,2,5,2,1,0,34,0,2,3,1699.0,0,1699.0,0.602,1452,39,0.531,0.0,7211,1.0
1,10,0,2,3,2,5,0,13,2,2,2,5956.0,1973,3439.0,0.877,1689,36,0.484,0.423,496,1.0
1,26,1,2,2,0,3,3,31,3,3,2,34516.0,299,33765.0,0.35700000000000004,3727,30,0.429,0.022,5279,1.0
1,18,0,3,2,1,4,0,23,5,3,4,1984.0,0,1984.0,0.89,1440,36,0.643,0.0,5178,1.0
1,33,1,1,3,1,2,0,23,2,2,3,6705.0,0,6705.0,0.7490000000000001,37,8,0.5,0.0,4944,1.0
1,13,0,2,2,0,4,0,23,4,2,3,2092.0,0,2092.0,0.422,1010,23,0.269,0.0,2767,1.0
1,27,0,2,0,2,5,0,36,1,2,4,10195.0,0,10195.0,0.629,1425,44,0.385,0.0,9994,1.0
1,14,0,3,5,1,4,0,21,4,1,2,2694.0,0,2694.0,0.872,1589,28,0.31,0.0,9112,1.0
1,25,0,2,2,2,1,0,23,2,1,4,1495.0,0,1495.0,0.528,1185,40,0.562,0.0,3265,1.0
1,17,0,2,5,2,4,0,19,3,3,6,1628.0,31,1353.0,0.69,1184,39,0.531,0.16899999999999998,477,1.0
1,24,0,4,3,1,4,0,23,0,3,2,3546.0,0,3546.0,0.7909999999999999,1537,37,0.469,0.0,5877,1.0
1,29,0,2,2,2,4,0,36,1,1,2,1583.0,23,1349.0,0.639,1471,26,0.385,0.14800000000000002,7140,1.0
1,15,1,4,3,1,4,0,19,1,3,3,7769.0,0,7769.0,0.943,4078,64,0.762,0.0,115,1.0
1,33,0,0,6,2,1,0,39,1,4,3,1852.0,0,1852.0,0.902,1706,39,0.75,0.0,5941,1.0
1,29,1,1,5,2,2,0,35,4,2,2,1723.0,0,1723.0,1.038,1501,33,0.72,0.0,1479,1.0
1,31,1,2,0,1,1,0,37,1,5,3,6462.0,0,6462.0,0.856,47,7,0.214,0.0,6897,1.0
1,14,1,3,2,2,3,0,23,0,2,2,6921.0,0,6921.0,0.8240000000000001,1621,34,0.467,0.0,4768,1.0
1,15,0,4,2,0,1,0,20,0,3,1,10360.0,1973,7843.0,0.632,1354,18,0.273,0.243,346,1.0
1,16,1,3,2,1,2,0,17,1,2,3,5298.0,0,5298.0,0.857,1370,27,0.542,0.0,4738,1.0
1,24,0,4,2,2,5,0,28,4,3,3,2509.0,0,2509.0,0.7020000000000001,1238,31,0.3670000000000001,0.0,1557,1.0
1,4,1,0,2,1,1,0,10,5,2,4,4063.0,0,4063.0,0.7759999999999999,3842,60,0.7070000000000001,0.0,7597,1.0
