CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
7290,0,15,0,3,2,2,4,0,15,5,1,2,7768.0,1205,6099.0,0.797,163,12,0.833,0.215
6293,0,33,1,1,3,3,1,0,33,3,1,2,14784.0,912,13410.0,0.9209999999999999,255,13,1.3,0.09300000000000001
9279,0,37,1,1,6,1,2,0,43,2,3,2,10215.0,551,9205.0,0.843,909,30,1.0,0.099
5489,0,18,0,3,5,2,5,0,21,4,2,2,10100.0,0,10100.0,0.525,164,8,1.571,0.0
9343,0,21,1,4,3,1,1,0,29,5,0,0,4785.0,900,3423.0,0.7390000000000001,160,28,0.9,0.285
7672,0,27,1,3,6,1,3,0,20,2,2,3,2753.0,1346,942.0,0.977,155,15,2.571,0.6579999999999999
2505,0,27,1,2,5,1,2,0,35,1,5,1,2451.0,1226,761.0,1.3230000000000002,624,16,1.6,0.69
463,0,15,1,4,2,1,2,0,23,3,1,2,8923.0,1973,6406.0,1.726,618,14,1.6669999999999998,0.282
8455,0,27,0,2,0,1,4,0,25,4,2,3,2650.0,1028,1160.0,1.75,452,18,1.0,0.562
8404,0,32,1,0,2,1,3,0,36,5,2,2,12555.0,1232,10859.0,0.519,338,14,0.7140000000000001,0.135
3800,0,29,0,1,0,2,4,0,23,3,2,1,3520.0,1444,1606.0,0.51,448,33,0.483,0.544
3041,0,29,0,3,2,1,4,0,23,5,2,3,3035.0,1797,737.0,1.724,883,27,1.176,0.757
8294,0,16,0,4,3,1,4,1,23,1,3,3,15433.0,0,15433.0,0.865,120,12,1.2,0.0
3732,0,31,0,1,2,3,1,0,36,2,3,2,3672.0,429,2786.0,1.32,500,18,0.556,0.24100000000000002
99,1,40,0,0,1,1,5,0,43,4,4,3,7882.0,174,7277.0,1.052,26,6,0.14300000000000002,0.077
10081,0,19,1,3,2,2,3,0,28,1,2,2,32426.0,153,31848.0,1.042,193,18,0.474,0.018000000000000002
7018,0,25,1,2,6,1,1,0,31,3,1,0,6205.0,1714,4001.0,0.8029999999999999,392,18,0.556,0.355
7595,0,24,0,1,0,2,1,3,30,2,2,3,17304.0,1973,14787.0,1.449,771,23,1.2,0.145
7710,0,23,1,3,3,1,2,0,24,4,2,1,3906.0,0,3906.0,1.214,771,22,1.0,0.0
6347,0,12,0,4,2,2,5,0,15,1,3,3,9830.0,1581,7775.0,0.977,158,13,0.917,0.209
2321,0,23,1,4,5,2,3,0,17,2,2,3,34516.0,0,34516.0,1.621,481,18,1.3330000000000002,0.0
8628,0,30,1,2,1,1,2,0,32,5,2,0,2283.0,968,853.0,2.316,756,17,0.588,0.626
6825,0,33,1,1,1,1,1,0,39,2,2,2,2548.0,1547,528.0,2.3569999999999998,736,17,1.7,0.7929999999999999
9154,0,20,1,3,3,1,3,0,27,3,3,3,19458.0,973,18023.0,0.787,271,17,0.8,0.07400000000000001
7361,0,26,1,1,0,2,3,0,27,4,1,1,4745.0,765,3518.0,0.624,215,30,0.6,0.259
6438,0,26,0,3,6,1,4,0,28,5,3,2,2622.0,1087,1073.0,1.321,884,20,1.143,0.591
7938,1,28,0,1,2,1,4,0,27,1,3,1,1438.3,355,630.3,0.997,27,9,0.9,0.562
1707,0,40,0,0,3,1,4,0,41,2,4,2,3171.0,1691,992.0,1.224,948,28,1.923,0.687
2402,0,23,1,2,6,1,0,0,23,3,2,0,19763.0,1973,17246.0,0.664,455,25,0.25,0.127
3279,1,30,1,2,2,1,0,0,23,0,3,3,15769.0,0,15769.0,1.041,7,5,0.364,0.0
5049,0,23,0,4,2,3,4,0,23,5,4,2,3298.0,1710,1098.0,0.6779999999999999,164,22,0.6,0.667
4467,0,23,0,3,2,2,4,0,23,1,2,0,2802.0,1851,439.0,0.75,342,30,0.6,0.843
7136,0,30,1,2,5,1,1,0,37,3,2,3,4458.0,1410,2578.0,1.107,464,19,1.4169999999999998,0.42200000000000004
1661,0,18,0,5,2,1,5,0,22,3,1,2,6273.0,519,5295.0,2.275,403,15,1.083,0.156
3126,0,16,1,2,3,2,2,0,21,3,4,3,3336.0,1289,1583.0,0.69,233,17,1.25,0.525
8376,0,29,1,3,6,1,3,0,34,3,2,3,3436.0,1543,1420.0,0.9009999999999999,184,23,0.833,0.5870000000000001
1980,1,22,1,2,2,1,2,3,22,1,4,4,34516.0,0,34516.0,0.763,20,5,0.5,0.0
1689,0,13,1,1,3,0,2,0,20,4,3,3,5926.0,789,4675.0,0.9440000000000001,362,18,1.1540000000000001,0.21100000000000002
972,0,18,1,4,4,2,0,0,19,1,4,2,23957.0,1623,21855.0,0.997,323,16,0.733,0.08800000000000001
32,0,27,1,2,3,2,0,0,31,3,2,2,14734.0,1171,13100.0,0.9890000000000001,336,13,0.917,0.111
8572,0,25,1,4,5,2,3,3,25,3,1,4,34516.0,1053,33001.0,0.5920000000000001,340,22,0.6,0.044000000000000004
9399,0,31,1,2,0,1,2,0,39,4,3,3,6584.0,1352,4767.0,0.62,398,25,0.667,0.276
8475,0,18,0,2,5,2,4,0,7,5,3,3,2084.0,1006,616.0,1.004,208,18,0.556,0.7040000000000001
1590,0,23,1,2,2,1,2,0,19,1,2,2,1687.0,646,580.0,1.715,692,7,2.4,0.6559999999999999
5085,0,24,1,2,1,1,3,0,25,5,2,2,25300.0,868,23970.0,1.072,73,5,2.0,0.053
4125,0,25,1,4,2,2,0,0,29,2,2,3,34516.0,1298,32753.0,1.266,580,31,1.05,0.051
6107,0,29,0,2,2,1,4,0,29,4,3,3,2216.0,575,1182.0,0.758,570,26,0.28600000000000003,0.467
5846,0,28,1,1,2,3,2,0,30,3,2,3,2910.0,1557,880.0,0.769,305,11,0.4,0.698
9887,0,16,1,5,5,1,3,0,24,5,2,2,22913.0,1066,21385.0,0.414,437,25,0.522,0.067
8857,0,18,1,1,0,2,2,0,22,2,3,3,24312.0,1461,22380.0,1.3119999999999998,386,14,1.182,0.079
2443,0,27,1,2,2,2,3,0,23,4,3,2,5272.0,1053,3757.0,0.857,336,23,0.435,0.287
9289,0,18,0,4,2,2,4,0,23,5,4,2,7000.0,1973,4483.0,0.475,196,13,1.875,0.36
3524,0,11,0,3,5,2,4,0,16,3,4,2,7038.0,1336,5237.0,0.7509999999999999,1293,47,0.966,0.256
7834,0,23,1,3,2,0,2,0,17,5,1,2,2536.0,1358,713.0,0.703,504,13,0.353,0.7190000000000001
1322,0,21,1,2,2,1,3,0,25,5,3,2,28904.0,1429,27005.0,0.85,379,25,0.4,0.066
3972,0,21,1,3,2,1,2,0,24,3,4,0,8567.0,1231,6872.0,1.242,494,31,1.412,0.198
3716,0,18,1,1,6,3,0,0,23,5,2,2,34516.0,1071,32983.0,0.924,631,19,0.526,0.044000000000000004
1443,1,29,0,4,6,1,1,0,32,1,4,3,2158.0,0,2158.0,0.585,8,2,0.7140000000000001,0.0
6938,0,33,0,1,2,1,5,0,39,1,3,3,10133.0,955,8716.0,0.38299999999999995,171,10,0.818,0.14
8981,0,27,1,1,2,0,3,0,22,4,4,2,34516.0,757,33297.0,1.129,619,17,2.0,0.035
4343,0,26,1,2,2,1,2,0,34,4,3,0,3085.0,1440,1175.0,0.9209999999999999,561,25,0.667,0.619
3847,0,27,1,2,3,2,0,0,22,3,2,1,19040.0,1582,16984.0,0.607,268,21,0.722,0.10800000000000001
1828,0,17,0,3,5,2,4,0,22,4,2,3,4026.0,0,4026.0,0.483,291,22,0.6,0.0
5921,0,18,1,3,3,2,2,0,18,3,3,1,12756.0,382,11919.0,1.932,454,4,1.8,0.066
7819,0,31,1,2,6,1,0,0,32,4,3,3,5266.0,0,5266.0,1.702,547,19,1.636,0.0
4897,0,25,0,2,3,2,4,0,23,2,2,2,9930.0,0,9930.0,0.731,323,11,1.3330000000000002,0.0
3111,0,23,1,4,3,2,3,0,25,3,3,0,31302.0,1481,29349.0,0.875,594,25,2.182,0.062
3135,0,19,1,1,2,2,1,0,23,3,4,3,6576.0,0,6576.0,0.579,501,24,0.619,0.0
8617,0,27,1,0,2,2,3,0,29,4,4,1,2664.0,1564,627.0,0.85,333,19,0.9329999999999999,0.765
3937,0,19,0,3,6,1,5,0,15,4,1,2,2535.0,1914,95.0,1.705,358,10,1.222,0.963
5916,0,38,1,1,2,1,4,0,39,5,4,3,1709.0,438,814.0,1.656,695,22,0.882,0.524
7558,0,19,1,3,2,1,1,0,22,4,4,2,3454.0,738,2254.0,0.597,359,20,0.304,0.34700000000000003
6230,0,27,1,3,1,1,1,0,22,4,3,2,3789.0,1242,2083.0,1.047,637,32,0.68,0.45
9191,0,30,1,3,0,1,0,0,37,2,2,0,9689.0,1756,7439.0,0.5760000000000001,227,9,0.727,0.23199999999999998
1915,1,21,1,2,6,1,3,0,24,1,3,3,5449.0,1165,3821.0,0.696,72,8,0.385,0.299
3502,0,23,0,3,0,2,5,0,30,3,4,0,23032.0,1488,21072.0,0.619,336,12,1.0,0.085
2970,0,15,0,3,6,1,5,3,21,4,3,3,34516.0,1579,32463.0,1.034,523,16,0.733,0.059000000000000004
7858,0,27,1,3,2,1,0,0,21,5,2,2,2940.0,802,1676.0,0.562,308,23,0.5,0.43
6595,0,18,0,2,2,2,4,0,19,2,3,3,3031.0,1409,1152.0,0.7879999999999999,345,5,1.5,0.62
2818,0,18,1,3,3,3,2,0,12,2,3,0,1862.0,0,1862.0,0.883,280,24,0.789,0.0
4479,0,17,0,4,4,1,4,0,20,1,3,3,8358.0,468,7432.0,0.762,596,27,0.542,0.111
7951,0,27,1,2,4,2,0,0,23,5,1,2,34516.0,473,33585.0,0.828,146,11,1.1,0.027000000000000003
5065,0,18,1,1,5,1,2,0,23,4,2,3,14450.0,1914,12010.0,1.2830000000000001,289,20,0.667,0.16899999999999998
9406,0,36,0,1,6,1,4,0,43,5,0,0,1438.3,0,1438.3,0.813,952,34,1.095,0.0
175,0,28,1,4,6,0,0,0,23,5,3,2,33791.0,1488,31831.0,0.618,161,21,0.8240000000000001,0.057999999999999996
1395,0,31,1,4,2,1,2,0,26,3,3,0,8466.0,1416,6580.0,0.56,387,22,0.391,0.223
184,0,16,1,3,6,1,2,0,23,4,3,3,15088.0,409,14223.0,0.9390000000000001,192,11,1.625,0.057
9156,0,16,1,4,3,0,2,0,23,4,1,2,3263.0,1210,1589.0,0.588,301,25,0.34600000000000003,0.513
5396,0,28,0,0,5,1,4,0,23,1,2,2,1494.0,258,788.0,1.6740000000000002,351,14,3.0,0.473
1887,0,22,1,3,2,2,3,0,22,5,1,0,13551.0,832,12257.0,0.7909999999999999,431,27,1.056,0.095
3513,0,23,1,1,2,2,3,0,23,5,2,2,18886.0,438,17991.0,1.8259999999999998,289,8,1.571,0.047
10069,0,26,1,3,3,3,3,0,35,2,2,0,11976.0,811,10703.0,1.024,1071,26,1.1179999999999999,0.106
7433,0,24,1,3,3,2,3,0,26,3,1,4,9964.0,1097,8405.0,1.8730000000000002,651,15,0.7859999999999999,0.156
6590,0,23,1,1,1,1,2,0,23,3,6,3,24159.0,734,22963.0,0.7120000000000001,195,14,1.0,0.05
3773,0,27,0,2,3,1,4,0,31,2,2,3,5362.0,1431,3461.0,0.816,583,28,1.0,0.355
5291,0,24,1,2,2,2,0,0,23,2,2,2,34516.0,564,33493.0,1.004,168,3,0.625,0.03
5895,0,29,0,1,1,1,4,0,23,3,1,0,3174.0,1479,1223.0,0.7659999999999999,295,19,0.611,0.615
3547,0,27,1,1,3,1,3,0,34,2,2,2,12262.0,1369,10426.0,1.584,683,28,1.5330000000000001,0.15
8292,0,21,0,3,3,2,1,0,28,3,3,3,3788.0,1078,2248.0,0.5660000000000001,623,37,0.382,0.40700000000000003
7292,0,29,1,2,0,2,0,3,29,1,3,2,34516.0,1065,32989.0,0.526,315,32,0.355,0.044000000000000004
1592,0,21,1,3,2,2,2,0,23,3,2,2,2926.0,0,2926.0,0.6759999999999999,350,14,0.846,0.0
8253,0,32,1,4,2,2,0,0,39,5,1,0,32090.0,0,32090.0,0.5670000000000001,412,20,0.364,0.0
6162,1,27,1,2,2,1,3,0,28,2,3,2,11669.0,1736,9442.0,0.622,33,13,0.353,0.191
5120,0,26,1,2,3,2,1,0,32,2,1,2,13532.0,838,12232.0,0.846,552,19,1.4169999999999998,0.096
1334,0,24,0,1,5,3,4,3,23,3,2,2,11888.0,1611,9798.0,0.7,212,20,0.765,0.17600000000000002
3488,0,16,0,1,2,1,4,0,23,4,1,2,2393.0,1513,408.0,0.7879999999999999,127,6,0.778,0.83
9943,0,17,1,4,6,1,1,0,26,4,1,2,6111.0,1973,3594.0,0.632,275,6,2.2,0.41200000000000003
3343,0,31,1,4,2,1,3,0,33,2,2,3,19270.0,1198,17608.0,1.186,595,18,1.545,0.086
2703,0,26,1,1,2,1,3,0,30,2,1,4,3710.0,1973,1193.0,1.541,608,24,0.7,0.6779999999999999
1647,0,21,1,2,1,2,4,0,24,1,1,3,3235.0,344,2438.0,0.541,526,22,1.0,0.24600000000000002
97,0,18,0,3,2,2,1,0,25,2,1,0,11749.0,335,10961.0,0.688,241,17,0.929,0.067
5636,0,27,1,2,3,0,2,0,23,4,3,2,7753.0,1621,5653.0,0.8390000000000001,131,16,0.733,0.271
4981,0,19,1,4,0,0,2,0,27,4,1,0,10408.0,724,9222.0,1.689,1487,32,1.2109999999999999,0.114
1485,0,37,0,1,0,1,5,0,23,5,2,3,3967.0,1106,2399.0,1.236,681,19,1.2309999999999999,0.395
3996,0,13,0,2,4,2,4,0,14,3,2,2,6205.0,1973,3688.0,0.9390000000000001,261,9,0.727,0.406
8685,1,22,0,5,3,1,4,0,25,0,3,3,8025.0,0,8025.0,0.654,15,8,0.8,0.0
8855,0,25,1,1,6,2,0,0,29,5,2,3,9036.0,1823,6709.0,0.649,207,8,0.636,0.258
891,0,28,1,4,2,1,3,0,21,1,3,2,14926.0,1973,12409.0,1.996,606,15,1.5,0.16899999999999998
5454,0,33,0,1,2,2,4,0,23,2,2,3,6335.0,667,5207.0,0.397,271,10,0.667,0.17800000000000002
7111,1,33,1,1,0,2,2,0,40,1,3,3,14979.0,0,14979.0,0.71,1,0,1.0,0.0
2482,1,22,0,4,5,1,4,0,25,2,2,3,2732.0,0,2732.0,0.76,40,6,0.455,0.0
4182,0,15,0,2,2,2,4,0,19,5,3,2,2250.0,1635,133.0,1.162,645,21,2.875,0.941
9815,0,29,1,2,2,1,0,0,37,2,2,0,10916.0,1074,9380.0,1.317,621,24,1.0,0.141
7498,0,21,0,4,2,1,5,0,23,3,1,3,5349.0,766,4121.0,0.728,388,20,1.308,0.23
2157,0,15,1,2,3,1,3,0,11,3,1,3,9366.0,643,8262.0,0.5720000000000001,349,29,0.625,0.11800000000000001
1439,0,14,1,3,3,2,3,0,15,4,1,0,21617.0,0,21617.0,1.047,396,12,0.467,0.0
2357,0,42,1,1,2,1,5,0,43,4,2,3,13860.0,1189,12208.0,1.255,915,22,1.909,0.11900000000000001
2079,0,24,0,1,2,2,1,3,18,1,2,3,18386.0,0,18386.0,0.868,345,12,0.5710000000000001,0.0
7623,0,21,1,4,5,2,2,0,28,5,2,2,2405.0,1078,865.0,0.469,179,19,1.2309999999999999,0.64
9023,0,27,0,1,0,1,4,0,34,3,2,3,2154.0,472,1224.0,2.121,478,16,1.364,0.43200000000000005
2940,0,16,0,5,6,1,1,0,23,2,3,3,2038.0,0,2038.0,0.7859999999999999,292,18,0.75,0.0
2801,0,22,0,4,3,2,1,0,25,5,1,3,8135.0,0,8135.0,1.3730000000000002,733,19,0.812,0.0
2212,0,23,1,1,1,1,0,0,25,5,1,3,9364.0,184,8746.0,0.5539999999999999,185,17,0.8,0.066
5462,0,18,0,2,5,1,5,3,22,3,3,2,32643.0,0,32643.0,1.3,166,14,2.4290000000000003,0.0
5483,0,17,0,4,2,0,4,0,21,1,3,1,3195.0,1482,1241.0,0.971,332,19,0.706,0.612
6190,0,30,1,0,3,1,3,0,30,4,2,1,2852.0,565,1828.0,1.0090000000000001,675,18,1.0,0.359
3152,0,33,0,1,0,2,5,0,23,1,3,3,4224.0,843,2919.0,0.852,222,21,0.8240000000000001,0.309
2614,0,20,1,1,5,1,2,0,23,2,2,2,20459.0,1593,18388.0,1.248,782,28,2.167,0.10099999999999999
3510,0,21,0,4,6,0,4,0,28,5,5,3,3482.0,1632,1368.0,0.508,156,14,0.263,0.607
7528,0,24,0,4,5,1,1,0,27,4,2,3,3065.0,1108,1495.0,1.077,206,18,1.3330000000000002,0.512
1421,0,25,0,3,5,1,4,0,30,2,1,2,2185.0,1296,424.0,0.682,669,20,0.429,0.8059999999999999
3225,0,21,0,3,5,1,4,0,23,3,1,0,1611.0,294,865.0,0.993,454,19,0.706,0.46299999999999997
4069,0,32,0,4,5,1,4,0,34,2,3,3,2822.0,1685,649.0,1.456,272,13,2.286,0.77
2912,1,20,1,5,2,2,3,0,20,5,3,3,32975.0,1973,30458.0,0.6579999999999999,6,7,0.7,0.076
708,0,27,1,3,3,1,2,0,34,4,2,2,1438.3,0,1438.3,0.7759999999999999,1156,43,0.828,0.0
4401,0,19,0,4,5,0,5,0,23,3,3,3,15875.0,1255,14156.0,0.86,621,27,1.4669999999999999,0.10800000000000001
3157,0,26,0,1,3,1,4,0,32,5,3,3,6703.0,436,5810.0,0.5670000000000001,431,18,0.75,0.133
427,1,27,1,2,6,1,3,0,23,1,2,1,3212.0,0,3212.0,0.713,45,10,0.25,0.0
2290,0,24,1,2,3,1,3,3,32,2,1,3,34516.0,798,33256.0,0.588,535,24,0.789,0.037000000000000005
9883,0,15,0,3,3,1,1,0,23,3,1,2,9797.0,972,8363.0,0.644,534,24,0.478,0.146
3604,0,19,0,5,2,0,1,0,23,4,2,2,10400.0,1312,8623.0,0.7909999999999999,190,18,0.867,0.171
4263,0,27,1,3,5,1,3,0,29,1,1,2,26792.0,1369,24956.0,1.432,1341,37,0.88,0.069
4789,0,41,0,1,2,1,4,0,43,3,3,2,3006.0,1973,489.0,2.053,685,22,1.0,0.8370000000000001
2495,0,31,0,2,5,2,1,3,23,5,3,0,19482.0,612,18410.0,0.706,462,12,1.444,0.055
1349,0,33,0,1,5,1,1,0,23,3,2,3,3356.0,526,2371.0,0.35,136,18,0.556,0.294
7967,0,19,1,2,5,1,1,0,21,2,2,1,5771.0,1754,3523.0,1.791,430,8,0.8,0.39
3799,0,25,1,3,2,1,3,0,23,5,2,3,11106.0,1627,8999.0,0.948,295,14,1.0,0.19
9670,0,33,0,1,5,1,4,0,41,4,3,0,2890.0,1529,889.0,1.334,869,26,1.0,0.6920000000000001
5738,0,27,1,1,2,1,2,0,32,5,2,2,3380.0,1237,1679.0,0.747,533,15,1.273,0.503
788,0,21,1,3,2,1,2,0,23,1,1,2,21331.0,789,20080.0,0.9490000000000001,497,40,1.083,0.059000000000000004
6622,0,23,0,3,5,2,5,0,25,5,2,1,12860.0,0,12860.0,0.6459999999999999,393,17,0.28600000000000003,0.0
8043,0,23,1,3,4,2,3,0,20,2,1,0,6278.0,79,5816.0,1.161,179,23,0.941,0.07400000000000001
9566,0,34,0,0,0,2,4,0,42,4,1,3,1438.3,287,700.3,0.782,280,23,0.5710000000000001,0.513
1452,0,24,0,2,3,1,4,0,23,4,1,2,9355.0,1163,7729.0,0.701,284,18,0.867,0.174
8071,0,15,0,2,4,1,5,0,18,5,1,3,20758.0,0,20758.0,0.688,585,22,0.684,0.0
8152,0,31,1,1,2,1,3,0,34,4,3,1,14612.0,1504,12636.0,1.768,838,14,3.0,0.135
5057,0,17,1,4,2,3,3,0,14,4,2,0,27259.0,0,27259.0,0.731,419,25,0.591,0.0
3323,0,31,0,3,2,1,4,0,34,3,2,3,6347.0,1132,4753.0,0.8959999999999999,785,27,0.762,0.251
8161,0,28,1,3,1,1,0,0,28,2,3,0,21592.0,1212,19916.0,1.097,880,42,0.529,0.078
4026,0,25,0,5,4,1,4,0,31,4,1,1,3449.0,1136,1851.0,0.971,701,32,0.556,0.46299999999999997
6300,0,21,0,3,3,1,4,0,21,1,1,2,6028.0,346,5229.0,0.8190000000000001,138,12,0.5710000000000001,0.133
4089,0,15,1,0,3,3,0,0,23,2,2,3,18214.0,1526,16216.0,0.8290000000000001,389,11,1.1,0.11
2169,0,27,1,3,5,1,3,0,30,2,3,1,16393.0,961,14970.0,1.642,498,32,0.75,0.087
378,1,42,1,0,3,1,4,0,39,0,3,2,1438.3,442,538.3,0.743,46,11,0.615,0.626
5114,0,33,1,1,0,1,2,0,23,3,1,2,7871.0,1223,6184.0,1.242,468,12,1.444,0.214
6413,0,22,1,4,6,1,3,0,23,4,3,0,5288.0,410,4422.0,0.8690000000000001,791,32,0.75,0.16399999999999998
7399,0,18,1,5,2,1,2,0,19,3,5,3,11376.0,1534,9370.0,0.619,348,17,0.8,0.17600000000000002
6866,0,22,1,3,0,1,3,0,28,3,5,3,12302.0,1169,10670.0,1.5090000000000001,519,31,0.519,0.133
7251,0,21,1,4,2,1,2,3,20,2,2,1,34516.0,1215,32837.0,0.623,167,17,0.5,0.049
7911,0,21,1,2,2,1,2,3,19,3,2,2,34516.0,1006,33048.0,0.505,375,22,0.684,0.043
1669,0,17,0,1,3,0,4,3,22,2,2,2,10514.0,1118,8934.0,0.504,283,17,0.8,0.15
5963,1,29,0,2,2,1,4,0,30,1,4,3,1438.3,0,1438.3,0.7070000000000001,91,17,0.42100000000000004,0.0
1721,1,33,1,2,4,1,2,0,33,2,3,3,1438.3,0,1438.3,0.688,77,14,0.5,0.0
9434,0,37,1,1,2,1,1,0,43,1,1,2,2619.0,1314,840.0,1.2590000000000001,487,27,0.9470000000000001,0.679
9891,0,32,1,2,0,1,0,0,40,1,3,0,24407.0,1877,22012.0,1.071,1266,38,0.7140000000000001,0.098
4138,0,27,0,2,3,1,4,0,23,3,1,2,2377.0,1186,728.0,0.93,421,16,1.167,0.6940000000000001
1196,0,33,1,0,6,3,3,3,27,2,2,3,34516.0,897,33157.0,1.327,152,16,1.364,0.039
9322,0,26,1,3,2,1,0,0,34,4,3,3,11086.0,1717,8879.0,0.8690000000000001,554,30,1.105,0.19899999999999998
815,0,22,1,3,3,2,2,0,23,3,2,2,11432.0,1973,8915.0,0.615,417,27,0.762,0.22
4391,0,17,1,4,3,1,1,0,23,4,3,2,13258.0,1257,11537.0,0.9079999999999999,175,11,1.3330000000000002,0.13
2969,0,22,1,2,0,2,4,0,23,2,2,3,2571.0,1483,616.0,0.531,288,14,0.7140000000000001,0.76
5520,0,17,0,4,2,2,4,0,18,4,2,0,5781.0,706,4613.0,0.638,628,22,0.455,0.20199999999999999
7240,0,18,1,4,6,1,2,0,17,4,1,2,7872.0,1968,5363.0,0.971,224,22,0.882,0.319
9012,0,15,1,3,3,1,3,0,22,5,1,2,34516.0,740,33314.0,0.603,398,23,0.737,0.035
9222,0,18,0,3,5,0,4,3,25,3,1,3,11127.0,1368,9292.0,2.3680000000000003,576,15,1.273,0.165
7000,0,24,1,2,6,2,1,0,30,1,1,3,1857.0,1141,254.0,0.579,619,33,1.263,0.863
3410,0,34,0,1,5,1,4,0,23,4,1,0,1913.0,810,641.0,1.008,485,12,1.0,0.665
7694,0,18,1,4,2,2,3,0,11,4,3,0,3839.0,1794,1544.0,0.569,318,14,0.7140000000000001,0.598
3176,0,22,0,3,2,0,1,0,26,5,2,3,2115.0,679,974.0,0.616,277,10,0.5379999999999999,0.539
5894,0,18,0,2,2,0,4,0,14,4,2,2,1438.3,233,759.3,0.8590000000000001,198,19,1.071,0.47200000000000003
2587,0,15,1,2,3,2,3,0,15,3,3,0,27756.0,1324,25967.0,0.75,133,14,0.846,0.064
7179,0,19,1,3,0,2,2,0,19,3,1,2,1438.3,0,1438.3,0.81,504,16,0.625,0.0
1582,0,21,0,2,5,0,4,3,21,5,4,2,13878.0,1731,11656.0,0.853,682,28,0.35700000000000004,0.16
8546,0,25,0,2,2,1,4,0,23,2,1,3,3106.0,842,1802.0,0.604,412,28,0.40700000000000003,0.42
7011,0,25,1,2,2,1,0,0,31,3,3,3,34516.0,1202,32850.0,0.613,272,8,0.8,0.048
7509,1,34,0,1,5,1,1,0,37,3,4,3,1438.3,566,413.3,0.838,25,2,0.7140000000000001,0.713
297,0,31,1,2,6,1,3,0,33,1,3,0,18871.0,1276,17131.0,1.7269999999999999,547,11,2.0,0.092
